,PROJECT_CODE,CAUCASIAN,AFRICAN_AMERICAN,HISPANIC,ASIAN,NATIVE_AMERICAN
28,TRC1407 FC1 C,44.42619047619048,0.13333333333333333,13.182738095238095,0.21904761904761905,0.0
29,CHE1604 DC1 CM,125.74839285714286,7.1484375,15.254464285714286,1.1941964285714286,0.5546875
30,DCP1907 OM1 C,19.944444444444443,0.5277777777777778,4.157407407407407,0.3148148148148148,0.0
31,DCP1907 OM3 C,18.375,0.0,2.375,0.07142857142857142,0.0
32,TRC1203 FC1 C,33.83870967741935,0.06451612903225806,10.414919354838709,1.086290322580645,0.0
33,TRC1702 HC1 C,94.1325,3.84,1.39,0.0,0.0
34,DCP1907 OM2 C,9.266666666666667,0.0,2.855555555555556,0.0,0.0
35,DPH1306 EC1 C,68.59492481203007,2.7030075187969924,3.5357142857142856,0.7218045112781954,0.0
36,AEP1801E UT1 C,13.666666666666666,0.0,0.0,0.0,0.0
37,DMH1601 FC2 C,28.928571428571427,0.0,0.5714285714285714,0.0,0.0
38,HCC1901 DB1 C,53.376344086021504,5.137096774193548,4.68010752688172,0.08602150537634409,0.0
39,BSD1801 DC1 C,52.36940298507463,4.690298507462686,6.503731343283582,0.0,0.0
40,VET1801 HC1 C,64.92647058823529,0.0,22.404411764705884,0.0,0.0
41,BRC1901 DB1 C,216.275,16.81153846153846,11.915384615384616,0.46153846153846156,0.12307692307692308
42,BSC1901 DB1 C,140.21923076923076,1.7307692307692308,5.703846153846154,0.0,0.18076923076923077
43,DCP1919 HC1 C,17.46153846153846,0.0,2.576923076923077,2.6923076923076925,0.0
44,MWC1901 DB1 C,32.11363636363637,0.0,7.818181818181818,0.65,0.0
45,NSC1901 DB1 C,58.16904761904762,2.092857142857143,14.040476190476191,1.7380952380952381,0.0
46,QCC1701 HC1 C,33.36265625,0.3216145833333333,3.7262500000000003,0.020833333333333332,0.0
47,STC1902 DB1 C,54.88028169014085,0.9612676056338029,14.246478873239436,0.3591549295774648,0.0
48,WSC1902 DB1 C,150.47058823529412,0.0784313725490196,22.99019607843137,1.1029411764705883,0.0
49,BSB1403 HC1 C,33.111486486486484,10.945945945945946,0.6655405405405406,4.945945945945946,0.0
50,MMA1901 DB1 C,68.46621621621621,9.89527027027027,3.77027027027027,0.0,0.5945945945945946
51,IFM2006 C,196.64285714285714,0.0,3.607142857142857,0.42857142857142855,0.0
52,MCA1501E EC1,85.475,6.780952380952381,4.578571428571428,0.0,0.0
53,DCP1842E EC1 C,75.83333333333333,11.04861111111111,0.0,0.0,0.0
54,DPH1901 FC1 C,37.395270270270274,0.5945945945945946,1.3918918918918919,0.0,0.0
55,DYS1901 HC1 C,12.039473684210526,20.026315789473685,1.0526315789473684,2.1052631578947367,0.0
56,IFM2004 C,23.28125,0.0,0.0,0.2708333333333333,0.0
57,POL1303 DC1 CM,22.49264705882353,0.0,3.0,0.0,0.0
58,DCP1909 OM1 C,16.443181818181817,0.0,2.272727272727273,1.0909090909090908,0.0
59,AEP1901E UT1 C,49.4375,0.0,0.0,0.0,0.0
60,BSB2002 HC1 CM,34.857142857142854,6.803571428571429,8.928571428571429,0.0,0.0
61,DCP2011 HC1 C,37.1875,0.0,11.125,0.0,0.0
62,BSB1901 EM1 C,10.0,18.11111111111111,0.0,0.0,0.0
63,DPH1641 DC2 CM,57.71111111111111,0.25555555555555554,13.555555555555555,10.088888888888889,0.0
64,DYS1902 EC1,66.64673913043478,0.0,10.097826086956522,0.0,0.0
65,TRC1401E EC1 C,26.65625,1.25,0.5,0.0,0.0
66,CCC1901 DC1 CM,32.28125,0.0859375,20.921875,0.0,0.0
67,DCP1905 DC1 CM,116.00223214285714,6.328125,0.7857142857142857,0.0,0.0
68,DMH2004,119.06039325842697,4.96067415730337,23.5,2.2865168539325844,0.17415730337078653
